SERIES TITLE,SUBSERIES TITLE,Institution,Location,subseries - date - single,subseries - date - range,FILE TITLE,Physical description - type,physical description - extent,physical description - dimensions,LINK,date type,date - single,date - range
Master Audiorecordings,Camp Swatonah,Camp Swatonah,,1983,1983/1983,,,,,,,,
Master Audiorecordings,Camp Swatonah,Camp Swatonah,,,,,,,,,,,
Master Audiorecordings,Camp Robindel,Camp Robindel,,1983,1983/1983,,,,,,,,
Master Audiorecordings,Camp Robindel,Camp Robindel,,,,,,,,,,,
Master Audiorecordings,Camp Lenore-Owassa,Camp Lenore-Owassa,,1983,1983/1983,,,,,,,,
Master Audiorecordings,Camp Lenore-Owassa,Camp Lenore-Owassa,,,,,,,,,,,
Master Audiorecordings,Camp Robindel,Camp Robindel,,1984,1984/1984,,,,,,,,
Master Audiorecordings,Camp Robindel,Camp Robindel,,,,,,,,,,,
Master Audiorecordings,Camp Lenore-Owaissa,Camp Lenore-Owaissa,,1984,1984/1984,,,,,,,,
Master Audiorecordings,Camp Lenore-Owaissa,Camp Lenore-Owaissa,,,,,,,,,,,
Master Audiorecordings,Camp Swatonah,Camp Swatonah,,1984,1984/1984,,,,,,,,
Master Audiorecordings,Camp Swatonah,Camp Swatonah,,,,,,,,,,,
Master Audiorecordings,Camp Blue Star,Camp Blue Star,,1984,1984/1984,,,,,,,,
Master Audiorecordings,Camp Blue Star,Camp Blue Star,,,,,,,,,,,
Master Audiorecordings,Camp Roosevelt,Camp Roosevelt,,1984,1984/1984,,,,,,,,
Master Audiorecordings,Camp Roosevelt,Camp Roosevelt,,,,,,,,,,,
Master Audiorecordings,Raquette Lake Girl's Camp,Raquette Lake Girl's Camp,,1984,1984/1984,,,,,,,,
Master Audiorecordings,Raquette Lake Girl's Camp,Raquette Lake Girl's Camp,,,,,,,,,,,
Master Audiorecordings,Camp Robindel White Team - Tails,Camp Robindel White Team - Tails,,1983,1983/1983,,,,,,,,
Master Audiorecordings,Camp Robindel White Team - Tails,Camp Robindel White Team - Tails,,,,,,,,,,,
Master Audiorecordings,Camp Robindel Blue Team - Tails,Camp Robindel Blue Team - Tails,,1983,1983/1983,,,,,,,,
Papers,Business and Marketing,Business and Marketing,,"undated, 1965",1965/1965,,,,,,,,
Papers,Business and Marketing,Business and Marketing,,,,,,,,,,,
Papers,Photographs,Photographs,,undated,,,,,,,,,
Papers,Photographs,Photographs,,,,,,,,,,,
Papers,Benjamin Franklin High School,Benjamin Franklin High School,,1962,1962/1962,,,,,,,,
Papers,Benjamin Franklin High School,Benjamin Franklin High School,,,,,,,,,,,
Papers,Camp Birchwood,Camp Birchwood,,1960,1960/1960,,,,,,,,
Papers,Camp Birchwood,Camp Birchwood,,,,,,,,,,,
Papers,Blue Star Camps,Blue Star Camps,,"1979, 1984",1979/1984,,,,,,,,
Papers,Blue Star Camps,Blue Star Camps,,,,,,,,,,,
Papers,Camp Jeanne d'Arc,Camp Jeanne d'Arc,,undated,,,,,,,,,
Papers,Camp Jeanne d'Arc,Camp Jeanne d'Arc,,,,,,,,,,,
Papers,Kee-Wah Camps,Kee-Wah Camps,,1961,1961/1961,,,,,,,,
Papers,Kee-Wah Camps,Kee-Wah Camps,,,,,,,,,,,
Papers,Camp Lenore-Owaissa,Camp Lenore-Owaissa,,undated,,,,,,,,,
Papers,Camp Lenore-Owaissa,Camp Lenore-Owaissa,,,,,,,,,,,
Papers,Camps Onibar-Geneva,Camps Onibar-Geneva,,1963,1963/1963,,,,,,,,
Papers,Camps Onibar-Geneva,Camps Onibar-Geneva,,,,,,,,,,,
Papers,Camp Swatonah,Camp Swatonah,,1973,1973/1973,,,,,,,,
Papers,Camp Swatonah,Camp Swatonah,,,,,,,,,,,
Papers,Raquette Lake Girls Camp,Raquette Lake Girls Camp,,"undated, 1981-1983",1981/1983,,,,,,,,
Papers,Raquette Lake Girls Camp,Raquette Lake Girls Camp,,,,,,,,,,,
Papers,Camp Robindel,Camp Robindel,,"1980, 1984",1980/1984,,,,,,,,
Papers,Camp Robindel,Camp Robindel,,,,,,,,,,,
Papers,Camp Roosevelt,Camp Roosevelt,,"1973, 1980-1983",1973/1983,,,,,,,,
Papers,Camp Roosevelt,Camp Roosevelt,,,,,,,,,,,
Papers,Camp Birchwood,Camp Birchwood,,undated,,,,,,,,,
Papers,Camp Birchwood,Camp Birchwood,,,,,,,,,,,
Papers,Blue Star Camps,Blue Star Camps,,1982 or 1983,1982/1983,,,,,,,,
Papers,Blue Star Camps,Blue Star Camps,,,,,,,,,,,
Papers,"Raquette Lake Girls Camp, 1 of 2","Raquette Lake Girls Camp, 1 of 2",,1973,1973/1973,,,,,,,,
Papers,"Raquette Lake Girls Camp, 1 of 2","Raquette Lake Girls Camp, 1 of 2",,,,,,,,,,,
Papers,"Raquette Lake Girls Camp, 2 of 2","Raquette Lake Girls Camp, 2 of 2",,1982,1982/1982,,,,,,,,
Papers,"Raquette Lake Girls Camp, 2 of 2","Raquette Lake Girls Camp, 2 of 2",,,,,,,,,,,
Papers,Camp Roosevelt,Camp Roosevelt,,1982,1982/1982,,,,,,,,
Papers,Camp Roosevelt,Camp Roosevelt,,,,,,,,,,,
Camp Romaca for Girls 1967 - Alma Mater,Camp Roosevelt,Camp Roosevelt,,,,,,,,,,,
